Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Roanoke,Weekly,"2017-05-21 00:00:00",Organic,1.590000000,7576.78,336.52,2483.17,0.00,4757.09,2335.89,2421.20,0.00
Sacramento,Weekly,"2017-05-21 00:00:00",Organic,2.400000000,5955.32,2135.74,2881.30,1.35,936.93,896.93,40.00,0.00
"San Diego",Weekly,"2017-05-21 00:00:00",Organic,2.050000000,15451.08,853.03,9892.77,1.65,4703.63,4700.00,3.63,0.00
"San Francisco",Weekly,"2017-05-21 00:00:00",Organic,2.650000000,22558.59,9604.14,10281.74,4.36,2668.35,2642.91,25.44,0.00
Seattle,Weekly,"2017-05-21 00:00:00",Organic,1.530000000,55027.93,3074.66,11527.34,7.95,40417.98,795.62,39622.36,0.00
"South Carolina",Weekly,"2017-05-21 00:00:00",Organic,1.860000000,8777.80,744.08,4624.30,193.97,3215.45,916.50,2298.95,0.00
"South Central",Weekly,"2017-05-21 00:00:00",Organic,1.450000000,147667.80,31741.16,14655.16,0.00,101271.48,96031.26,5240.22,0.00
Southeast,Weekly,"2017-05-21 00:00:00",Organic,1.670000000,87299.49,11348.27,19091.40,257.81,56602.01,29557.75,27044.26,0.00
Spokane,Weekly,"2017-05-21 00:00:00",Organic,1.530000000,4711.98,319.75,1148.21,68.52,3175.50,91.01,3084.49,0.00
"St. Louis",Weekly,"2017-05-21 00:00:00",Organic,1.940000000,7221.48,1450.51,2164.36,3.45,3603.16,1618.04,1985.12,0.00
Syracuse,Weekly,"2017-05-21 00:00:00",Organic,2.070000000,2976.18,0.00,262.29,0.00,2713.89,1109.61,1604.28,0.00
Tampa,Weekly,"2017-05-21 00:00:00",Organic,1.760000000,7514.33,1257.05,124.04,0.00,6133.24,5223.35,909.89,0.00
West,Weekly,"2017-05-21 00:00:00",Organic,1.520000000,252331.06,72450.49,48371.97,249.55,131259.05,19903.15,111355.90,0.00
"West Tex/New Mexico",Weekly,"2017-05-21 00:00:00",Organic,1.730000000,16899.03,3988.80,5269.43,16.64,7624.16,4373.14,3251.02,0.00
"Total U.S.",Weekly,"2017-05-28 00:00:00",Organic,1.690000000,1302205.55,163384.37,357431.20,3195.15,778194.83,497848.02,280346.81,0.00
Albany,Weekly,"2017-05-28 00:00:00",Organic,1.870000000,3365.45,11.93,344.88,0.00,3008.64,3008.64,0.00,0.00
Atlanta,Weekly,"2017-05-28 00:00:00",Organic,1.590000000,19501.92,1301.70,6521.28,0.00,11678.94,979.75,10699.19,0.00
Baltimore/Washington,Weekly,"2017-05-28 00:00:00",Organic,2.180000000,24730.84,1009.57,13030.82,180.99,10509.46,10503.91,5.55,0.00
Boise,Weekly,"2017-05-28 00:00:00",Organic,1.220000000,4468.00,14.44,683.93,0.00,3769.63,608.14,3161.49,0.00
Boston,Weekly,"2017-05-28 00:00:00",Organic,2.040000000,20860.14,20.57,1658.97,0.00,19180.60,17542.21,1638.39,0.00
Buffalo/Rochester,Weekly,"2017-05-28 00:00:00",Organic,2.190000000,5712.13,0.00,711.28,0.00,5000.85,980.00,4020.85,0.00
California,Weekly,"2017-05-28 00:00:00",Organic,1.760000000,197588.64,31705.67,68967.28,12.52,96903.17,96713.71,189.46,0.00
Charlotte,Weekly,"2017-05-28 00:00:00",Organic,2.500000000,8254.68,313.55,5326.85,398.10,2216.18,1790.08,426.10,0.00
Chicago,Weekly,"2017-05-28 00:00:00",Organic,1.930000000,48877.42,61.80,43856.32,0.00,4959.30,4959.30,0.00,0.00
Cincinnati/Dayton,Weekly,"2017-05-28 00:00:00",Organic,1.780000000,12161.37,325.70,4912.89,0.00,6922.78,975.95,5946.83,0.00
Columbus,Weekly,"2017-05-28 00:00:00",Organic,1.510000000,12422.96,644.63,3161.32,0.00,8617.01,2471.99,6145.02,0.00
"Dallas/Ft. Worth",Weekly,"2017-05-28 00:00:00",Organic,1.130000000,42244.70,5642.86,6595.91,0.00,30005.93,29825.13,180.80,0.00
Denver,Weekly,"2017-05-28 00:00:00",Organic,1.690000000,28877.50,25873.17,2438.11,165.37,400.85,303.23,97.62,0.00
